성질별 수출입 실적_시도,,,,,
,,,,,
", 조회기간:201908 ~202007 성질명전체, 수출입구분:수출",,,,,
,,,"단위:천 불(USD 1,000)",,
기간,성질명,수출품목건수,수출금액,,
총계,,"32,456","1,845,775",,
2019.08,1. 식료 및 직접소비재,"1,092","32,823",,
2019.08,2. 원료 및 연료,291,"6,200",,
2019.08,3. 경공업품,"4,513","67,153",,
2019.08,가. 섬유원료,12,377,,
2019.08,나. 섬유사,77,"2,024",,
2019.08,다. 직 물,127,"3,497",,
2019.08,라. 기타 섬유제품,296,"5,964",,
2019.08,마. 의 류,265,297,,
2019.08,바. 목제품,218,"2,758",,
2019.08,"사. 가죽, 고무 및 신발류",291,"4,599",,
2019.08,아. 귀금속 및 보석류,69,"1,291",,
2019.08,자. 기타 비금속 광물제품,241,"10,204",,
2019.08,"차. 완구, 운동용구 및 악기",65,"2,297",,
2019.08,카. 기 타,"2,852","33,844",,
2019.08,4. 중화학 공업품,"26,560","1,739,600",,
2019.08,가. 화공품,"6,272","261,563",,
2019.08,나. 철강제품,"3,822","71,538",,
2019.08,다. 기계류와 정밀기기,"3,925","202,692",,
2019.08,"라. 전기, 전자제품","10,769","1,131,419",,
2019.08,마. 수송장비,869,"35,117",,
2019.08,바. 기 타,903,"37,271",,
총계,,"32,560","1,840,023",,
2019.09,1. 식료 및 직접소비재,933,"29,105",,
2019.09,2. 원료 및 연료,339,"5,458",,
2019.09,3. 경공업품,"4,984","68,694",,
2019.09,가. 섬유원료,13,422,,
2019.09,나. 섬유사,68,"1,228",,
2019.09,다. 직 물,128,"3,013",,
2019.09,라. 기타 섬유제품,303,"6,694",,
2019.09,마. 의 류,369,406,,
2019.09,바. 목제품,233,"3,114",,
2019.09,"사. 가죽, 고무 및 신발류",292,"4,580",,
2019.09,아. 귀금속 및 보석류,51,"1,051",,
2019.09,자. 기타 비금속 광물제품,230,"9,202",,
2019.09,"차. 완구, 운동용구 및 악기",69,"1,648",,
2019.09,카. 기 타,"3,228","37,336",,
2019.09,4. 중화학 공업품,"26,304","1,736,765",,
2019.09,가. 화공품,"6,958","265,750",,
2019.09,나. 철강제품,"3,715","70,700",,
2019.09,다. 기계류와 정밀기기,"3,717","210,477",,
2019.09,"라. 전기, 전자제품","10,139","1,131,099",,
2019.09,마. 수송장비,891,"40,664",,
2019.09,바. 기 타,884,"18,074",,
총계,,"35,083","1,837,962",,
2019.10,1. 식료 및 직접소비재,"1,065","33,655",,
2019.10,2. 원료 및 연료,369,"9,441",,
2019.10,3. 경공업품,"5,135","71,533",,
2019.10,가. 섬유원료,17,676,,
2019.10,나. 섬유사,104,"1,805",,
2019.10,다. 직 물,125,"2,232",,
2019.10,라. 기타 섬유제품,319,"7,356",,
2019.10,마. 의 류,549,273,,
2019.10,바. 목제품,225,"2,925",,
2019.10,"사. 가죽, 고무 및 신발류",309,"4,128",,
2019.10,아. 귀금속 및 보석류,68,"1,324",,
2019.10,자. 기타 비금속 광물제품,249,"9,045",,
2019.10,"차. 완구, 운동용구 및 악기",60,"2,750",,
