성질별 수출입 실적_시도,,,,,
,,,,,
", 조회기간:201908 ~202007 성질명전체, 수출입구분:수출",,,,,
,,,"단위:천 불(USD 1,000)",,
기간,성질명,수출품목건수,수출금액,,
총계,,"51,737","6,990,525",,
2019.08,1. 식료 및 직접소비재,"1,660","32,855",,
2019.08,2. 원료 및 연료,860,"554,694",,
2019.08,3. 경공업품,"7,227","176,249",,
2019.08,가. 섬유원료,4,488,,
2019.08,나. 섬유사,30,413,,
2019.08,다. 직 물,51,"1,278",,
2019.08,라. 기타 섬유제품,202,"5,800",,
2019.08,마. 의 류,120,614,,
2019.08,바. 목제품,207,"9,806",,
2019.08,"사. 가죽, 고무 및 신발류",754,"4,972",,
2019.08,아. 귀금속 및 보석류,9,"2,279",,
2019.08,자. 기타 비금속 광물제품,721,"74,884",,
2019.08,"차. 완구, 운동용구 및 악기",96,"1,121",,
2019.08,카. 기 타,"5,033","74,595",,
2019.08,4. 중화학 공업품,"41,990","6,226,727",,
2019.08,가. 화공품,"7,345","704,852",,
2019.08,나. 철강제품,"3,821","146,439",,
2019.08,다. 기계류와 정밀기기,"8,063","365,372",,
2019.08,"라. 전기, 전자제품","19,684","4,809,739",,
2019.08,마. 수송장비,"1,947","176,003",,
2019.08,바. 기 타,"1,130","24,323",,
총계,,"49,524","7,513,966",,
2019.09,1. 식료 및 직접소비재,"1,569","28,487",,
2019.09,2. 원료 및 연료,858,"734,721",,
2019.09,3. 경공업품,"6,488","176,158",,
2019.09,가. 섬유원료,8,"1,297",,
2019.09,나. 섬유사,25,156,,
2019.09,다. 직 물,35,931,,
2019.09,라. 기타 섬유제품,199,"5,432",,
2019.09,마. 의 류,107,663,,
2019.09,바. 목제품,192,"9,322",,
2019.09,"사. 가죽, 고무 및 신발류",682,"3,418",,
2019.09,아. 귀금속 및 보석류,16,"4,146",,
2019.09,자. 기타 비금속 광물제품,622,"77,992",,
2019.09,"차. 완구, 운동용구 및 악기",84,"1,170",,
2019.09,카. 기 타,"4,518","71,633",,
2019.09,4. 중화학 공업품,"40,609","6,574,600",,
2019.09,가. 화공품,"7,046","682,790",,
2019.09,나. 철강제품,"3,561","144,296",,
2019.09,다. 기계류와 정밀기기,"7,427","318,010",,
2019.09,"라. 전기, 전자제품","19,301","5,230,446",,
2019.09,마. 수송장비,"2,148","172,953",,
2019.09,바. 기 타,"1,126","26,105",,
총계,,"54,138","7,040,704",,
2019.10,1. 식료 및 직접소비재,"1,882","33,410",,
2019.10,2. 원료 및 연료,917,"702,344",,
2019.10,3. 경공업품,"7,549","189,782",,
2019.10,가. 섬유원료,6,365,,
2019.10,나. 섬유사,21,226,,
2019.10,다. 직 물,53,"1,721",,
2019.10,라. 기타 섬유제품,233,"5,419",,
2019.10,마. 의 류,192,916,,
2019.10,바. 목제품,218,"11,637",,
2019.10,"사. 가죽, 고무 및 신발류",822,"5,841",,
2019.10,아. 귀금속 및 보석류,13,"2,362",,
2019.10,자. 기타 비금속 광물제품,672,"81,168",,
2019.10,"차. 완구, 운동용구 및 악기",128,"1,082",,
2019.10,카. 기 타,"5,191","79,047",,
2019.10,4. 중화학 공업품,"43,790","6,115,169",,
2019.10,가. 화공품,"7,786","753,958",,
2019.10,나. 철강제품,"4,142","150,383",,
2019.10,다. 기계류와 정밀기기,"8,724","395,214",,
2019.10,"라. 전기, 전자제품","19,796","4,614,749",,
2019.10,마. 수송장비,"2,196","178,670",,
2019.10,바. 기 타,"1,146","22,196",,
총계,,"52,930","6,607,866",,
2019.11,1. 식료 및 직접소비재,"1,872","32,761",,
2019.11,2. 원료 및 연료,"1,145","646,183",,
2019.11,3. 경공업품,"7,209","181,067",,
2019.11,가. 섬유원료,3,377,,
2019.11,나. 섬유사,40,"1,073",,
2019.11,다. 직 물,37,"1,123",,
2019.11,라. 기타 섬유제품,179,"4,614",,
2019.11,마. 의 류,168,"1,194",,
2019.11,바. 목제품,220,"12,650",,
2019.11,"사. 가죽, 고무 및 신발류","1,058","3,585",,
2019.11,아. 귀금속 및 보석류,9,"3,743",,
2019.11,자. 기타 비금속 광물제품,558,"81,669",,
2019.11,"차. 완구, 운동용구 및 악기",68,"1,184",,
2019.11,카. 기 타,"4,869","69,854",,
2019.11,4. 중화학 공업품,"42,704","5,747,855",,
2019.11,가. 화공품,"7,841","683,852",,
2019.11,나. 철강제품,"4,019","152,006",,
2019.11,다. 기계류와 정밀기기,"8,030","398,449",,
2019.11,"라. 전기, 전자제품","19,629","4,336,719",,
2019.11,마. 수송장비,"1,922","152,141",,
2019.11,바. 기 타,"1,263","24,689",,
총계,,"50,766","6,704,907",,
2019.12,1. 식료 및 직접소비재,"1,927","36,563",,
2019.12,2. 원료 및 연료,969,"555,238",,
2019.12,3. 경공업품,"7,402","183,188",,
2019.12,가. 섬유원료,7,862,,
2019.12,나. 섬유사,35,736,,
2019.12,다. 직 물,66,"1,703",,
2019.12,라. 기타 섬유제품,204,"5,104",,
2019.12,마. 의 류,190,927,,
2019.12,바. 목제품,209,"12,791",,
2019.12,"사. 가죽, 고무 및 신발류","1,161","6,351",,
2019.12,아. 귀금속 및 보석류,16,"3,468",,
2019.12,자. 기타 비금속 광물제품,516,"77,870",,
2019.12,"차. 완구, 운동용구 및 악기",92,"1,004",,
2019.12,카. 기 타,"4,906","72,372",,
2019.12,4. 중화학 공업품,"40,468","5,929,917",,
2019.12,가. 화공품,"7,469","734,560",,
2019.12,나. 철강제품,"4,090","158,578",,
2019.12,다. 기계류와 정밀기기,"7,458","463,065",,
2019.12,"라. 전기, 전자제품","18,481","4,394,551",,
2019.12,마. 수송장비,"1,842","154,097",,
2019.12,바. 기 타,"1,128","25,066",,
총계,,"47,612","6,244,422",,
2020.01,1. 식료 및 직접소비재,"1,399","25,199",,
2020.01,2. 원료 및 연료,853,"586,034",,
2020.01,3. 경공업품,"6,434","191,785",,
2020.01,가. 섬유원료,5,582,,
2020.01,나. 섬유사,15,34,,
2020.01,다. 직 물,44,"1,016",,
2020.01,라. 기타 섬유제품,176,"5,425",,
2020.01,마. 의 류,98,"1,262",,
2020.01,바. 목제품,193,"13,285",,
2020.01,"사. 가죽, 고무 및 신발류",951,"3,632",,
2020.01,아. 귀금속 및 보석류,20,"12,679",,
2020.01,자. 기타 비금속 광물제품,528,"83,865",,
2020.01,"차. 완구, 운동용구 및 악기",42,173,,
2020.01,카. 기 타,"4,362","69,829",,
2020.01,4. 중화학 공업품,"38,926","5,441,404",,
2020.01,가. 화공품,"6,771","687,168",,
2020.01,나. 철강제품,"3,652","172,570",,
2020.01,다. 기계류와 정밀기기,"7,376","348,254",,
2020.01,"라. 전기, 전자제품","18,524","4,082,696",,
2020.01,마. 수송장비,"1,723","134,441",,
2020.01,바. 기 타,880,"16,276",,
총계,,"47,395","6,208,465",,
2020.02,1. 식료 및 직접소비재,"1,592","30,187",,
2020.02,2. 원료 및 연료,825,"576,936",,
2020.02,3. 경공업품,"6,598","191,359",,
2020.02,가. 섬유원료,5,313,,
2020.02,나. 섬유사,16,41,,
2020.02,다. 직 물,52,"1,107",,
2020.02,라. 기타 섬유제품,287,"9,314",,
2020.02,마. 의 류,106,752,,
2020.02,바. 목제품,152,"12,039",,
2020.02,"사. 가죽, 고무 및 신발류",909,"3,164",,
2020.02,아. 귀금속 및 보석류,20,"15,343",,
