성질별 수출입 실적_시도,,,,,
,,,,,
", 조회기간:201908 ~202007 성질명전체, 수출입구분:수출",,,,,
,,,"단위:천 불(USD 1,000)",,
기간,성질명,수출품목건수,수출금액,,
총계,,"8,839","297,802",,
2019.08,1. 식료 및 직접소비재,310,"31,135",,
2019.08,2. 원료 및 연료,28,539,,
2019.08,3. 경공업품,"1,476","41,902",,
2019.08,가. 섬유원료,1,1,,
2019.08,나. 섬유사,130,"2,214",,
2019.08,다. 직 물,21,305,,
2019.08,라. 기타 섬유제품,100,"1,907",,
2019.08,마. 의 류,54,104,,
2019.08,바. 목제품,20,46,,
2019.08,"사. 가죽, 고무 및 신발류",133,"2,538",,
2019.08,아. 귀금속 및 보석류,0,0,,
2019.08,자. 기타 비금속 광물제품,21,370,,
2019.08,"차. 완구, 운동용구 및 악기",17,796,,
2019.08,카. 기 타,979,"33,621",,
2019.08,4. 중화학 공업품,"7,025","224,227",,
2019.08,가. 화공품,"1,123","30,155",,
2019.08,나. 철강제품,666,"4,636",,
2019.08,다. 기계류와 정밀기기,"1,823","86,659",,
2019.08,"라. 전기, 전자제품","2,233","63,697",,
2019.08,마. 수송장비,677,"27,470",,
2019.08,바. 기 타,503,"11,610",,
총계,,"9,533","308,172",,
2019.09,1. 식료 및 직접소비재,308,"26,581",,
2019.09,2. 원료 및 연료,45,"1,140",,
2019.09,3. 경공업품,"1,587","41,459",,
2019.09,가. 섬유원료,1,3,,
2019.09,나. 섬유사,170,"2,368",,
2019.09,다. 직 물,34,634,,
2019.09,라. 기타 섬유제품,101,"2,551",,
2019.09,마. 의 류,72,209,,
2019.09,바. 목제품,22,92,,
2019.09,"사. 가죽, 고무 및 신발류",157,"2,534",,
2019.09,아. 귀금속 및 보석류,1,0,,
2019.09,자. 기타 비금속 광물제품,35,858,,
2019.09,"차. 완구, 운동용구 및 악기",10,43,,
2019.09,카. 기 타,984,"32,168",,
2019.09,4. 중화학 공업품,"7,593","238,991",,
2019.09,가. 화공품,"1,061","31,204",,
2019.09,나. 철강제품,691,"8,266",,
2019.09,다. 기계류와 정밀기기,"2,258","86,857",,
2019.09,"라. 전기, 전자제품","2,357","74,826",,
2019.09,마. 수송장비,746,"27,923",,
2019.09,바. 기 타,480,"9,914",,
총계,,"10,469","346,662",,
2019.10,1. 식료 및 직접소비재,355,"27,556",,
2019.10,2. 원료 및 연료,45,467,,
2019.10,3. 경공업품,"1,800","44,499",,
2019.10,가. 섬유원료,0,0,,
2019.10,나. 섬유사,200,"3,074",,
2019.10,다. 직 물,37,849,,
2019.10,라. 기타 섬유제품,91,"2,067",,
2019.10,마. 의 류,85,134,,
2019.10,바. 목제품,44,220,,
2019.10,"사. 가죽, 고무 및 신발류",143,"2,176",,
2019.10,아. 귀금속 및 보석류,1,2,,
2019.10,자. 기타 비금속 광물제품,46,955,,
2019.10,"차. 완구, 운동용구 및 악기",16,852,,
2019.10,카. 기 타,"1,137","34,172",,
2019.10,4. 중화학 공업품,"8,269","274,140",,
2019.10,가. 화공품,"1,217","31,866",,
2019.10,나. 철강제품,815,"5,923",,
2019.10,다. 기계류와 정밀기기,"2,220","98,416",,
2019.10,"라. 전기, 전자제품","2,724","81,609",,
2019.10,마. 수송장비,833,"28,741",,
2019.10,바. 기 타,460,"27,585",,
총계,,"10,366","344,356",,
2019.11,1. 식료 및 직접소비재,336,"24,425",,
2019.11,2. 원료 및 연료,53,711,,
2019.11,3. 경공업품,"1,584","38,095",,
2019.11,가. 섬유원료,1,0,,
2019.11,나. 섬유사,166,"2,777",,
2019.11,다. 직 물,46,729,,
2019.11,라. 기타 섬유제품,86,"2,205",,
2019.11,마. 의 류,59,144,,
2019.11,바. 목제품,30,152,,
2019.11,"사. 가죽, 고무 및 신발류",161,"2,142",,
2019.11,아. 귀금속 및 보석류,1,"1,100",,
2019.11,자. 기타 비금속 광물제품,34,601,,
2019.11,"차. 완구, 운동용구 및 악기",18,186,,
2019.11,카. 기 타,982,"28,060",,
2019.11,4. 중화학 공업품,"8,393","281,126",,
2019.11,가. 화공품,"1,163","40,808",,
2019.11,나. 철강제품,833,"12,421",,
2019.11,다. 기계류와 정밀기기,"2,220","105,694",,
2019.11,"라. 전기, 전자제품","2,947","94,822",,
2019.11,마. 수송장비,671,"17,834",,
2019.11,바. 기 타,559,"9,547",,
총계,,"10,405","371,216",,
2019.12,1. 식료 및 직접소비재,377,"30,538",,
2019.12,2. 원료 및 연료,51,581,,
2019.12,3. 경공업품,"1,815","43,812",,
2019.12,가. 섬유원료,0,0,,
2019.12,나. 섬유사,258,"3,129",,
2019.12,다. 직 물,24,513,,
2019.12,라. 기타 섬유제품,115,"2,955",,
2019.12,마. 의 류,89,196,,
2019.12,바. 목제품,28,64,,
2019.12,"사. 가죽, 고무 및 신발류",167,"2,149",,
2019.12,아. 귀금속 및 보석류,1,0,,
2019.12,자. 기타 비금속 광물제품,26,482,,
2019.12,"차. 완구, 운동용구 및 악기",15,211,,
2019.12,카. 기 타,"1,092","34,114",,
