성질별 수출입 실적_시도,,,,,
,,,,,
", 조회기간:201908 ~202007 성질명전체, 수출입구분:수출",,,,,
,,,"단위:천 불(USD 1,000)",,
기간,성질명,수출품목건수,수출금액,,
총계,,"58,081","3,023,712",,
2019.08,1. 식료 및 직접소비재,"2,383","90,754",,
2019.08,2. 원료 및 연료,803,"19,442",,
2019.08,3. 경공업품,"10,027","198,572",,
2019.08,가. 섬유원료,141,"4,878",,
2019.08,나. 섬유사,235,"1,901",,
2019.08,다. 직 물,924,"8,532",,
2019.08,라. 기타 섬유제품,"1,098","8,751",,
2019.08,마. 의 류,149,"1,915",,
2019.08,바. 목제품,280,"3,554",,
2019.08,"사. 가죽, 고무 및 신발류","3,533","113,841",,
2019.08,아. 귀금속 및 보석류,10,126,,
2019.08,자. 기타 비금속 광물제품,265,"4,678",,
2019.08,"차. 완구, 운동용구 및 악기",157,721,,
2019.08,카. 기 타,"3,235","49,675",,
2019.08,4. 중화학 공업품,"44,868","2,714,944",,
2019.08,가. 화공품,"3,653","52,927",,
2019.08,나. 철강제품,"8,699","225,029",,
2019.08,다. 기계류와 정밀기기,"18,129","768,658",,
2019.08,"라. 전기, 전자제품","7,151","229,591",,
2019.08,마. 수송장비,"6,759","1,395,520",,
2019.08,바. 기 타,477,"43,219",,
총계,,"58,668","3,304,640",,
2019.09,1. 식료 및 직접소비재,"2,375","87,534",,
2019.09,2. 원료 및 연료,775,"17,759",,
2019.09,3. 경공업품,"9,646","182,471",,
2019.09,가. 섬유원료,127,"4,272",,
2019.09,나. 섬유사,194,"1,348",,
2019.09,다. 직 물,834,"7,635",,
2019.09,라. 기타 섬유제품,959,"9,369",,
2019.09,마. 의 류,126,"1,241",,
2019.09,바. 목제품,352,"4,357",,
2019.09,"사. 가죽, 고무 및 신발류","3,503","105,992",,
2019.09,아. 귀금속 및 보석류,9,159,,
2019.09,자. 기타 비금속 광물제품,274,"3,295",,
2019.09,"차. 완구, 운동용구 및 악기",69,916,,
2019.09,카. 기 타,"3,199","43,887",,
2019.09,4. 중화학 공업품,"45,872","3,016,875",,
2019.09,가. 화공품,"3,315","46,871",,
2019.09,나. 철강제품,"8,888","245,320",,
