성질별 수출입 실적_시도,,,,,
,,,,,
", 조회기간:201908 ~202007 성질명전체, 수출입구분:수출",,,,,
,,,"단위:천 불(USD 1,000)",,
기간,성질명,수출품목건수,수출금액,,
총계,,"45,857","5,680,254",,
2019.08,1. 식료 및 직접소비재,263,"13,366",,
2019.08,2. 원료 및 연료,"1,202","1,857,453",,
2019.08,3. 경공업품,"4,463","189,920",,
2019.08,가. 섬유원료,189,"17,957",,
2019.08,나. 섬유사,427,"24,801",,
2019.08,다. 직 물,166,"11,882",,
2019.08,라. 기타 섬유제품,100,"1,205",,
2019.08,마. 의 류,13,1,,
2019.08,바. 목제품,78,"3,165",,
2019.08,"사. 가죽, 고무 및 신발류","1,189","2,225",,
2019.08,아. 귀금속 및 보석류,139,"97,905",,
2019.08,자. 기타 비금속 광물제품,225,811,,
2019.08,"차. 완구, 운동용구 및 악기",34,16,,
2019.08,카. 기 타,"1,903","29,951",,
2019.08,4. 중화학 공업품,"39,929","3,619,516",,
2019.08,가. 화공품,"8,934","905,994",,
2019.08,나. 철강제품,"4,526","287,061",,
2019.08,다. 기계류와 정밀기기,"4,024","247,852",,
2019.08,"라. 전기, 전자제품","2,230","168,958",,
2019.08,마. 수송장비,"19,967","2,003,788",,
2019.08,바. 기 타,248,"5,862",,
총계,,"42,007","5,296,565",,
2019.09,1. 식료 및 직접소비재,265,"16,203",,
2019.09,2. 원료 및 연료,"1,228","1,581,947",,
2019.09,3. 경공업품,"3,791","223,912",,
2019.09,가. 섬유원료,199,"19,032",,
2019.09,나. 섬유사,441,"25,697",,
2019.09,다. 직 물,171,"8,881",,
2019.09,라. 기타 섬유제품,98,"1,008",,
2019.09,마. 의 류,12,2,,
2019.09,바. 목제품,73,"4,359",,
2019.09,"사. 가죽, 고무 및 신발류",810,"2,136",,
2019.09,아. 귀금속 및 보석류,125,"131,980",,
2019.09,자. 기타 비금속 광물제품,164,636,,
2019.09,"차. 완구, 운동용구 및 악기",30,10,,
2019.09,카. 기 타,"1,668","30,171",,
2019.09,4. 중화학 공업품,"36,723","3,474,503",,
2019.09,가. 화공품,"8,644","866,169",,
2019.09,나. 철강제품,"3,817","250,772",,
2019.09,다. 기계류와 정밀기기,"3,528","236,291",,
2019.09,"라. 전기, 전자제품","2,034","131,829",,
2019.09,마. 수송장비,"18,465","1,981,375",,
2019.09,바. 기 타,235,"8,066",,
총계,,"55,141","6,015,636",,
2019.10,1. 식료 및 직접소비재,299,"13,342",,
2019.10,2. 원료 및 연료,"1,270","1,627,321",,
2019.10,3. 경공업품,"5,091","206,365",,
2019.10,가. 섬유원료,212,"15,907",,
2019.10,나. 섬유사,429,"23,211",,
2019.10,다. 직 물,190,"10,679",,
2019.10,라. 기타 섬유제품,123,786,,
2019.10,마. 의 류,10,14,,
2019.10,바. 목제품,88,"4,501",,
2019.10,"사. 가죽, 고무 및 신발류","1,441","2,240",,
2019.10,아. 귀금속 및 보석류,136,"119,136",,
2019.10,자. 기타 비금속 광물제품,287,822,,
2019.10,"차. 완구, 운동용구 및 악기",5,10,,
2019.10,카. 기 타,"2,170","29,058",,
2019.10,4. 중화학 공업품,"48,481","4,168,609",,
2019.10,가. 화공품,"9,367","922,970",,
2019.10,나. 철강제품,"4,888","292,461",,
2019.10,다. 기계류와 정밀기기,"4,850","280,411",,
2019.10,"라. 전기, 전자제품","2,582","126,995",,
2019.10,마. 수송장비,"26,525","2,534,165",,
2019.10,바. 기 타,269,"11,605",,
총계,,"51,521","5,286,991",,
2019.11,1. 식료 및 직접소비재,320,"14,343",,
2019.11,2. 원료 및 연료,"1,164","1,472,425",,
2019.11,3. 경공업품,"5,078","184,745",,
2019.11,가. 섬유원료,186,"17,675",,
2019.11,나. 섬유사,414,"21,206",,
2019.11,다. 직 물,187,"9,335",,
2019.11,라. 기타 섬유제품,103,720,,
2019.11,마. 의 류,7,6,,
2019.11,바. 목제품,93,"4,865",,
2019.11,"사. 가죽, 고무 및 신발류","1,514","2,490",,
2019.11,아. 귀금속 및 보석류,132,"102,055",,
2019.11,자. 기타 비금속 광물제품,277,862,,
