국가별수출입 실적,,,,,,
,,,,,,
"통계기준:수리일,조회구분:201908 ~202007 ,국가:전체",,,,,,
,,,,,,"단위:천 불(USD 1,000)"
기간,국가명,수출건수,수출금액,수입건수,수입금액,무역수지
총계,,"10,652,574","508,312,929","28,079,911","475,749,723","32,563,206"
2019.08,중국,"235,133","11,287,793","294,380","8,312,968","2,974,826"
2019.08,미국,"85,255","5,619,803","1,038,766","5,175,083","444,720"
2019.08,베트남,"55,949","4,484,556","35,625","1,989,497","2,495,059"
2019.08,홍콩,"25,344","2,578,176","18,558","138,092","2,440,083"
2019.08,일본,"88,150","2,243,165","116,601","3,886,997","-1,643,832"
2019.08,대만,"24,750","1,358,374","24,139","1,315,184","43,191"
2019.08,인도,"18,291","1,284,406","9,282","465,467","818,939"
2019.08,싱가포르,"19,861","1,283,150","11,503","489,801","793,349"
2019.08,멕시코,"11,565","871,473","6,353","470,066","401,407"
2019.08,말레이시아,"12,228","798,939","11,234","743,106","55,833"
2019.08,독일,"12,425","650,596","194,204","1,827,951","-1,177,355"
2019.08,필리핀,"9,007","645,902","7,089","291,530","354,372"
2019.08,러시아 연방,"8,535","637,943","1,999","1,272,998","-635,056"
2019.08,태국,"14,548","617,440","12,559","402,955","214,485"
2019.08,호주,"9,560","615,542","41,625","2,158,989","-1,543,447"
2019.08,인도네시아,"15,480","603,004","7,923","691,679","-88,675"
2019.08,브라질,"7,342","407,401","1,825","397,522","9,879"
2019.08,캐나다,"8,406","405,703","15,829","577,336","-171,634"
2019.08,터키,"5,200","399,731","2,912","62,048","337,683"
2019.08,폴란드,"6,179","390,101","2,418","79,922","310,179"
2019.08,마샬군도,26,"387,065",34,14,"387,051"
2019.08,영국,"7,353","338,069","29,844","456,001","-117,932"
2019.08,사우디아라비아,"2,692","326,405",583,"2,259,302","-1,932,897"
2019.08,파나마,751,"323,108",140,"16,228","306,880"
2019.08,아랍에미리트 연합,"5,513","307,044",569,"797,291","-490,247"
2019.08,네덜란드,"7,734","301,571","10,121","365,115","-63,544"
2019.08,이탈리아,"4,372","291,362","54,394","540,726","-249,364"
2019.08,프랑스,"4,714","275,581","16,402","494,662","-219,082"
2019.08,노르웨이,529,"264,006","2,371","114,727","149,279"
2019.08,헝가리,"1,826","220,047","1,254","38,255","181,792"
2019.08,스페인,"3,868","212,089","5,099","135,962","76,126"
2019.08,체코공화국,"2,296","199,414","3,467","57,797","141,617"
2019.08,벨기에,"1,852","189,432","2,419","113,962","75,470"
2019.08,우즈베크,"4,289","184,361",54,"1,405","182,956"
2019.08,슬로바키아,"1,375","179,658","1,028","41,219","138,438"
2019.08,이라크,901,"164,848",41,"546,576","-381,727"
2019.08,슬로베니아,598,"154,968",343,"8,406","146,562"
2019.08,뉴질랜드,"2,159","151,169","36,873","104,069","47,100"
2019.08,이스라엘,"2,041","114,932","1,609","83,749","31,183"
2019.08,칠레,"2,177","90,102","1,375","247,286","-157,184"
2019.08,방글라데시,"2,366","90,017","1,016","40,226","49,792"
2019.08,스웨덴,"1,145","89,990","3,457","117,078","-27,088"
2019.08,카자흐스탄,"1,245","87,761",57,"169,679","-81,918"
2019.08,이집트,"2,940","86,146",303,"20,758","65,389"
2019.08,오스트리아,"2,199","75,350","5,547","161,957","-86,607"
2019.08,콜롬비아,"1,237","70,500",674,"75,381","-4,880"
2019.08,남아프리카공화국,"2,062","67,909",550,"139,342","-71,433"
2019.08,몰타,301,"64,043",124,"3,986","60,058"
2019.08,파키스탄,"1,346","63,611",731,"26,172","37,439"
2019.08,캄보디아,"2,949","55,711",728,"29,047","26,664"
2019.08,아일랜드,515,"55,248","1,447","93,502","-38,253"
2019.08,나이지리아,863,"55,219",70,"20,082","35,137"
2019.08,토고,101,"54,336",36,"4,745","49,591"
2019.08,그리스,822,"53,360",402,"50,752","2,609"
2019.08,페루,"1,148","50,080",648,"194,588","-144,508"
2019.08,루마니아,940,"48,290","2,668","35,628","12,663"
2019.08,요르단,"1,413","47,868",70,"7,547","40,321"
2019.08,미얀마,"1,176","46,638",781,"60,319","-13,681"
2019.08,쿠웨이트,685,"44,538",47,"1,027,864","-983,325"
2019.08,리비아,"8,339","43,853",13,"2,594","41,259"
2019.08,포루투갈,824,"41,969","4,240","26,258","15,711"
2019.08,스위스,"1,126","39,333","3,978","232,653","-193,320"
2019.08,에쿠아도르,538,"34,876",272,"10,842","24,035"
2019.08,카타르,675,"31,708",206,"1,362,811","-1,331,103"
2019.08,피지,109,"31,055",40,639,"30,415"
2019.08,덴마크,"1,102","30,751","2,571","65,339","-34,588"
2019.08,오만,696,"28,016",108,"174,827","-146,811"
2019.08,아르헨티나,862,"26,795",404,"100,207","-73,412"
2019.08,알제리,292,"26,492",25,"190,093","-163,601"
2019.08,우크라이나,"2,124","26,339",303,"30,472","-4,133"
2019.08,바레인,265,"25,358",76,"58,811","-33,453"
2019.08,이란,339,"23,783",32,709,"23,074"
2019.08,리투아니아,360,"22,767",634,"6,864","15,904"
2019.08,핀란드,614,"22,511","1,339","107,421","-84,909"
2019.08,몽골,"1,918","21,951",402,"4,475","17,476"
2019.08,푸에르토리코,150,"21,838",141,"19,887","1,950"
2019.08,튀니지,194,"21,334",572,"3,760","17,575"
2019.08,도미니카 공화국,509,"20,251",124,"8,532","11,718"
2019.08,모로코,302,"18,855",506,"17,423","1,432"
2019.08,과테말라,"1,052","17,469",315,"5,604","11,865"
2019.08,스리랑카,969,"15,013",494,"9,595","5,418"
2019.08,레바논,277,"14,447",29,"1,083","13,364"
2019.08,불가리아,389,"13,226","1,026","17,642","-4,416"
2019.08,코스타리카,327,"12,766",328,"10,154","2,612"
2019.08,크로아티아,201,"12,658",138,"4,784","7,873"
2019.08,가나,"1,912","12,580",30,"2,692","9,888"
2019.08,케냐,277,"12,070",103,"4,721","7,349"
2019.08,온두라스,265,"11,429",111,"4,768","6,661"
2019.08,우루과이,189,"10,685",67,"8,659","2,025"
2019.08,시리아,458,"10,373",5,112,"10,260"
