성질별 국가별 수출입실적,,,,,
,,,,,
"통계구분:수리일기준,조회기간:201908 ~202007 ,성질명:전체,수출입구분:수출,국가:[중국]",,,,,
,,,,,"단위:천 불(USD 1,000) / 톤(TON)"
기간,수출입구분,국가명,성질명,중량,금액
총계,수출,,,"51,724,099.8","132,254,995"
2019.08,수출,중국,1. 식료 및 직접소비재,"55,094.9","116,200"
2019.08,수출,중국,2. 원료 및 연료,"1,636,013.7","974,200"
2019.08,수출,중국,3. 경공업품,"368,170.5","377,469"
2019.08,수출,중국,가. 섬유원료,"10,411.4","17,852"
2019.08,수출,중국,나. 섬유사,"3,370.6","16,731"
2019.08,수출,중국,다. 직 물,"3,963.7","40,742"
2019.08,수출,중국,라. 기타 섬유제품,"2,609.5","21,669"
2019.08,수출,중국,마. 의 류,"1,582.4","23,902"
2019.08,수출,중국,바. 목제품,"1,491.1","18,107"
2019.08,수출,중국,"사. 가죽, 고무 및 신발류","2,428.3","31,831"
2019.08,수출,중국,아. 귀금속 및 보석류,257.4,"6,315"
2019.08,수출,중국,자. 기타 비금속 광물제품,"275,035.4","74,452"
2019.08,수출,중국,"차. 완구, 운동용구 및 악기","1,816.2","6,257"
2019.08,수출,중국,카. 기 타,"65,204.6","119,610"
2019.08,수출,중국,4. 중화학 공업품,"2,112,404.5","9,819,924"
2019.08,수출,중국,가. 화공품,"1,589,388.4","2,071,708"
2019.08,수출,중국,나. 철강제품,"372,001.5","546,507"
2019.08,수출,중국,다. 기계류와 정밀기기,"57,302.0","1,558,982"
2019.08,수출,중국,"라. 전기, 전자제품","24,432.5","5,054,585"
2019.08,수출,중국,마. 수송장비,"50,122.6","233,692"
2019.08,수출,중국,바. 기 타,"19,157.5","354,450"
2019.09,수출,중국,1. 식료 및 직접소비재,"60,780.9","108,955"
2019.09,수출,중국,2. 원료 및 연료,"1,564,280.7","929,794"
2019.09,수출,중국,3. 경공업품,"287,989.7","379,943"
2019.09,수출,중국,가. 섬유원료,"10,474.5","20,180"
2019.09,수출,중국,나. 섬유사,"2,729.1","14,293"
2019.09,수출,중국,다. 직 물,"4,160.1","39,224"
2019.09,수출,중국,라. 기타 섬유제품,"2,759.8","21,979"
2019.09,수출,중국,마. 의 류,"2,034.9","24,262"
2019.09,수출,중국,바. 목제품,"1,447.6","20,397"
2019.09,수출,중국,"사. 가죽, 고무 및 신발류","2,246.4","30,160"
2019.09,수출,중국,아. 귀금속 및 보석류,146.4,"8,337"
2019.09,수출,중국,자. 기타 비금속 광물제품,"193,327.1","72,893"
2019.09,수출,중국,"차. 완구, 운동용구 및 악기","1,584.1","6,378"
2019.09,수출,중국,카. 기 타,"67,079.7","121,840"
2019.09,수출,중국,4. 중화학 공업품,"2,057,617.2","9,943,694"
2019.09,수출,중국,가. 화공품,"1,478,876.0","1,960,763"
2019.09,수출,중국,나. 철강제품,"360,252.6","527,292"
