성질명,이전 수출 건수,이전 수출 금액,이후 수출 건수,이후 수출 금액,차액,차액 단위
" 가죽, 고무 및 신발류",279,4206,256,3487,-719,-1백만원
 귀금속 및 보석류,62,1147,61,1158,11,0원
 기 타,1980,28954,2022,31390,2436,2백만원
 기계류와 정밀기기,3873,208958,3743,212384,3426,3백만원
 기타 비금속 광물제품,236,9998,269,15928,5930,5백만원
 기타 섬유제품,299,6420,306,6491,71,0원
 목제품,245,3526,223,3223,-303,-1백만원
 섬유사,77,1446,64,1320,-126,-1백만원
 섬유원료,14,475,10,305,-170,-1백만원
 수송장비,923,39611,714,30134,-9477,-10백만원
 식료 및 직접소비재,993,32400,1222,35955,3555,3백만원
" 완구, 운동용구 및 악기",71,3387,60,2485,-902,-1백만원
 원료 및 연료,314,7655,264,13798,6143,6백만원
 의 류,358,282,457,402,120,0원
" 전기, 전자제품",10196,1096109,8921,1118113,22004,22백만원
 직 물,122,2682,95,1991,-691,-1백만원
 철강제품,3921,75095,3584,72180,-2915,-3백만원
 화공품,6880,287032,6562,366085,79053,79백만원
