성질명,이전 수출 건수,이전 수출 금액,이후 수출 건수,이후 수출 금액,차액,차액 단위
" 가죽, 고무 및 신발류",905,4633,1059,2971,-1662,-2백만원
 귀금속 및 보석류,14,4780,14,9630,4850,4백만원
 기 타,2963,47999,3214,45583,-2416,-3백만원
 기계류와 정밀기기,7846,381394,7390,339910,-41484,-42백만원
 기타 비금속 광물제품,603,79575,625,82212,2637,2백만원
 기타 섬유제품,199,5299,204,5754,455,0원
 목제품,206,11582,191,13742,2160,2백만원
 섬유사,28,440,21,86,-354,-1백만원
 섬유원료,6,662,3,185,-477,-1백만원
 수송장비,1963,161384,1440,108133,-53251,-54백만원
 식료 및 직접소비재,1718,31546,1714,34044,2498,2백만원
" 완구, 운동용구 및 악기",85,956,78,738,-218,-1백만원
 원료 및 연료,934,629869,779,328873,-300996,-301백만원
 의 류,146,929,99,4699,3770,3백만원
" 전기, 전자제품",19236,4578150,18419,4371513,-206637,-207백만원
 직 물,48,1295,54,1179,-116,-1백만원
 철강제품,3881,154045,3565,150025,-4020,-5백만원
 화공품,7376,707863,7247,551118,-156745,-157백만원
