시도명,코로나 이전 수출건수,코로나 이전 수출금액,코로나 이후 수출건수,코로나 이후 수출금액,차액
강원도,3916.33,168814.83,3596.83,157219.5,-11595.329999999987
경기도,204898.17,9370152.17,187776.17,9222601.67,-147550.5
경상남도,41831.83,3359309.83,39771.83,2755746.17,-603563.6600000001
경상북도,39009.17,3196695.83,34061.67,2874243.33,-322452.5
광주광역시,9727.83,1059661.33,9248.33,1053836.33,-5825.0
대구광역시,18181.33,608132.0,16442.0,485576.83,-122555.16999999998
대전광역시,7424.17,354868.0,7260.33,381039.0,26171.0
부산광역시,41661.0,1124812.67,41230.33,918264.83,-206547.83999999997
서울특별시,165795.67,4652330.0,266129.5,4049922.33,-602407.6699999999
세종특별자치시,2574.0,113954.17,2486.5,101620.5,-12333.669999999998
울산광역시,21889.17,5647688.33,19476.67,4340764.0,-1306924.33
인천광역시,251673.17,3133764.0,172578.17,3068107.33,-65656.66999999993
전라남도,16571.5,2684710.17,16131.33,2113283.5,-571426.6699999999
전라북도,7863.17,507710.67,8015.67,456407.5,-51303.169999999984
제주특별자치도,678.5,13662.0,484.0,10991.33,-2670.67
충청남도,36915.17,6850398.33,36575.83,6095978.17,-754420.1600000001
충청북도,22377.33,1838334.67,21176.33,1948220.33,109885.66000000015
