성질명,이전 수출 건수,이전 수출 금액,이후 수출 건수,이후 수출 금액,차액,차액 단위
" 가죽, 고무 및 신발류",3679,110448,2999,77867,-32581,-33백만원
 귀금속 및 보석류,9,162,8,89,-73,-1백만원
 기 타,1938,48563,1745,51020,2457,2백만원
 기계류와 정밀기기,19700,1027882,18940,959534,-68348,-69백만원
 기타 비금속 광물제품,250,3726,231,4073,347,0원
 기타 섬유제품,1088,9047,1077,7774,-1273,-2백만원
 목제품,332,3680,265,3340,-340,-1백만원
 섬유사,179,1094,161,1472,378,0원
 섬유원료,120,4002,88,2848,-1154,-2백만원
 수송장비,6483,1438452,4795,931928,-506524,-507백만원
 식료 및 직접소비재,3262,92899,3442,88420,-4479,-5백만원
" 완구, 운동용구 및 악기",92,862,293,906,44,0원
 원료 및 연료,812,18556,707,17933,-623,-1백만원
 의 류,142,1645,133,1633,-12,-1백만원
" 전기, 전자제품",7493,241965,8320,253831,11866,11백만원
 직 물,917,8806,852,6458,-2348,-3백만원
 철강제품,9280,247642,8942,247699,57,0원
 화공품,3484,51317,3098,47903,-3414,-4백만원
