성질명,이전 수출 건수,이전 수출 금액,이후 수출 건수,이후 수출 금액,차액,차액 단위
" 가죽, 고무 및 신발류",1258,2252,1016,1458,-794,-1백만원
 귀금속 및 보석류,130,122271,124,156665,34394,34백만원
 기 타,1099,17772,853,14570,-3202,-4백만원
 기계류와 정밀기기,4147,240833,3589,219012,-21821,-22백만원
 기타 비금속 광물제품,231,781,163,577,-204,-1백만원
 기타 섬유제품,103,928,80,498,-430,-1백만원
 목제품,83,3963,66,2545,-1418,-2백만원
 섬유사,435,23443,278,13468,-9975,-10백만원
 섬유원료,203,18556,159,15437,-3119,-4백만원
 수송장비,22150,2235838,16568,1809659,-426179,-427백만원
 식료 및 직접소비재,287,13768,249,13674,-94,-1백만원
" 완구, 운동용구 및 악기",22,31,18,43,12,0원
 원료 및 연료,1171,1652342,1044,970130,-682212,-683백만원
 의 류,12,8,17,25,17,0원
" 전기, 전자제품",2351,133872,1855,117810,-16062,-17백만원
 직 물,170,9827,171,7247,-2580,-3백만원
 철강제품,4636,277511,3580,241966,-35545,-36백만원
 화공품,8945,875919,8290,741410,-134509,-135백만원
